date,state,tot_cases,new_case,tot_death,new_death
02/01/20,Alabama,0,0,0,0
02/01/20,Alaska,0,0,0,0
02/01/20,Arizona,1,0,0,0
02/01/20,Arkansas,0,0,0,0
02/01/20,California,0,0,0,0
02/01/20,Colorado,0,0,0,0
02/01/20,Connecticut,0,0,0,0
02/01/20,Delaware,5,0,0,0
02/01/20,District of Columbia,0,0,0,0
02/01/20,Florida,0,0,0,0
02/01/20,Georgia,0,0,0,0
02/01/20,Hawaii,0,0,0,0
02/01/20,Idaho,0,0,0,0
02/01/20,Illinois,2,0,0,0
02/01/20,Indiana,0,0,0,0
02/01/20,Iowa,0,0,0,0
02/01/20,Kansas,0,0,0,0
02/01/20,Kentucky,0,0,0,0
02/01/20,Louisiana,0,0,0,0
02/01/20,Maine,0,0,0,0
02/01/20,Maryland,0,0,0,0
02/01/20,Massachusetts,1,1,0,0
02/01/20,Michigan,0,0,0,0
02/01/20,Minnesota,0,0,0,0
02/01/20,Mississippi,0,0,0,0
02/01/20,Missouri,0,0,0,0
02/01/20,Montana,0,0,0,0
02/01/20,Nebraska,0,0,0,0
02/01/20,Nevada,0,0,0,0
02/01/20,New Hampshire,0,0,0,0
02/01/20,New Jersey,0,0,0,0
02/01/20,New Mexico,0,0,0,0
02/01/20,New York,0,0,0,0
02/01/20,North Carolina,0,0,0,0
02/01/20,North Dakota,0,0,0,0
02/01/20,Ohio,0,0,0,0
02/01/20,Oklahoma,0,0,0,0
02/01/20,Oregon,0,0,0,0
02/01/20,Pennsylvania,0,0,0,0
02/01/20,Rhode Island,0,0,0,0
02/01/20,South Carolina,0,0,0,0
02/01/20,South Dakota,0,0,0,0
02/01/20,Tennessee,0,0,0,0
02/01/20,Texas,0,0,0,0
02/01/20,Utah,0,0,0,0
02/01/20,Vermont,0,0,0,0
02/01/20,Virginia,0,0,0,0
02/01/20,Washington,1,0,0,0
02/01/20,West Virginia,0,0,0,0
02/01/20,Wisconsin,0,0,0,0
02/01/20,Wyoming,0,0,0,0
03/01/20,Alabama,0,0,1,0
03/01/20,Alaska,0,0,0,0
03/01/20,Arizona,1,0,0,0
03/01/20,Arkansas,0,0,0,0
03/01/20,California,34,0,0,0
03/01/20,Colorado,0,0,0,0
03/01/20,Connecticut,0,0,0,0
03/01/20,Delaware,12,0,0,0
03/01/20,District of Columbia,0,0,0,0
03/01/20,Florida,0,0,0,0
03/01/20,Georgia,2,0,0,0
03/01/20,Hawaii,0,0,0,0
03/01/20,Idaho,0,0,0,0
03/01/20,Illinois,3,1,0,0
03/01/20,Indiana,0,0,0,0
03/01/20,Iowa,0,0,0,0
03/01/20,Kansas,0,0,0,0
03/01/20,Kentucky,0,0,0,0
03/01/20,Louisiana,0,0,0,0
03/01/20,Maine,0,0,0,0
03/01/20,Maryland,0,0,0,0
03/01/20,Massachusetts,1,0,0,0
03/01/20,Michigan,14,14,0,0
03/01/20,Minnesota,0,0,0,0
03/01/20,Mississippi,0,0,0,0
03/01/20,Missouri,0,0,0,0
03/01/20,Montana,0,0,0,0
03/01/20,Nebraska,0,0,0,0
03/01/20,Nevada,0,0,0,0
03/01/20,New Hampshire,0,0,0,0
03/01/20,New Jersey,0,0,0,0
03/01/20,New Mexico,0,0,0,0
03/01/20,New York,0,0,0,0
03/01/20,North Carolina,0,0,0,0
03/01/20,North Dakota,0,0,0,0
03/01/20,Ohio,0,0,0,0
03/01/20,Oklahoma,31,3,0,0
03/01/20,Oregon,1,0,0,0
03/01/20,Pennsylvania,0,0,0,0
03/01/20,Rhode Island,0,0,0,0
03/01/20,South Carolina,0,0,0,0
03/01/20,South Dakota,0,0,0,0
03/01/20,Tennessee,0,0,0,0
03/01/20,Texas,0,0,0,0
03/01/20,Utah,0,0,0,0
03/01/20,Vermont,0,0,0,0
03/01/20,Virginia,0,0,0,0
03/01/20,Washington,1,0,1,0
03/01/20,West Virginia,0,0,0,0
03/01/20,Wisconsin,0,0,0,0
03/01/20,Wyoming,0,0,0,0
04/01/20,Alabama,1168,112,56,7
04/01/20,Alaska,141,13,6,0
04/01/20,Arizona,1413,124,29,5
04/01/20,Arkansas,614,54,10,2
04/01/20,California,8155,1223,171,21
04/01/20,Colorado,3334,384,80,11
04/01/20,Connecticut,3557,429,85,16
04/01/20,Delaware,427,70,12,1
04/01/20,District of Columbia,586,91,11,2
04/01/20,Florida,7579,1034,210,30
04/01/20,Georgia,4806,570,154,24
04/01/20,Hawaii,311,28,1,0
04/01/20,Idaho,669,144,9,0
04/01/20,Illinois,6980,986,141,42
04/01/20,Indiana,2565,406,66,16
04/01/20,Iowa,549,52,9,2
04/01/20,Kansas,482,54,10,1
04/01/20,Kentucky,839,130,28,6
04/01/20,Louisiana,6424,1187,273,34
04/01/20,Maine,376,35,7,2
04/01/20,Maryland,1985,325,46,8
04/01/20,Massachusetts,7738,1118,191,36
04/01/20,Michigan,21593,1690,687,129
04/01/20,Minnesota,742,53,18,1
04/01/20,Mississippi,2396,154,164,11
04/01/20,Missouri,2819,261,39,7
04/01/20,Montana,228,25,5,0
04/01/20,Nebraska,219,39,4,1
